col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
80,48,39,6,62,93,20,65,81,73
34,5,13,40,64,48,83,94,91,81
12,80,47,15,40,95,16,54,79,85
3,87,52,61,60,43,3,2,12,20
69,84,0,7,85,32,62,85,71,99
39,38,5,98,74,23,3,15,21,76
49,94,67,27,21,55,69,62,56,46
20,14,83,43,82,72,56,37,85,2
31,28,31,70,43,88,31,20,5,28
91,94,70,56,14,97,9,29,93,66
70,27,79,67,79,87,30,40,58,6
75,5,61,4,44,74,6,64,36,87
85,73,23,82,31,87,21,65,90,56
8,29,81,9,66,46,2,67,67,81
22,77,4,84,43,53,62,61,41,58
61,49,82,64,79,83,7,66,25,50
57,37,11,2,98,27,4,57,14,81
74,60,83,34,34,64,14,54,76,10
84,21,73,85,3,64,92,3,25,55
48,78,16,0,42,41,18,41,72,53
52,63,37,78,39,5,1,51,93,28
23,87,43,24,46,45,55,75,1,51
99,86,17,85,96,89,86,8,55,95
74,7,55,27,12,30,61,15,92,26
58,45,6,84,29,23,69,2,98,29
38,80,54,31,23,76,22,92,88,95
77,42,43,32,22,33,15,19,91,60
86,34,51,81,38,3,44,64,69,51
42,38,42,89,68,38,17,34,21,35
24,75,84,10,16,66,68,18,83,39
80,59,72,43,73,52,72,83,60,79
71,35,8,45,52,38,68,79,61,70
37,0,29,30,79,60,67,55,28,55
83,39,14,14,78,85,25,28,10,94
14,35,9,5,65,98,0,21,69,18
71,98,24,87,16,23,15,81,2,43
41,78,2,80,39,49,22,31,37,10
0,95,79,49,66,86,43,83,76,0
50,6,61,77,82,40,89,79,46,35
42,45,77,89,37,31,38,98,20,11
29,94,59,0,88,64,31,9,59,36
43,69,68,96,26,42,93,66,87,3
19,43,84,20,76,83,44,27,94,30
72,79,78,95,7,98,76,95,95,37
61,26,32,2,7,4,19,6,58,18
38,77,89,35,37,55,27,74,18,59
42,42,65,4,42,75,27,49,62,34
68,63,27,62,6,10,79,32,56,48
44,42,61,43,41,44,57,63,34,41
82,95,71,23,78,38,44,10,7,27
48,75,1,68,87,3,43,6,4,55
41,91,26,31,95,16,19,24,29,45
15,11,99,25,56,23,72,50,75,74
15,57,4,76,73,19,59,22,85,26
