Sample number,Initial number of cells,Number of cells surviving
1,66,14
2,80,15
3,28,6
4,15,3
5,88,14
6,54,15
7,72,15
8,74,11
9,52,8
10,100,22
11,98,23
12,61,13
13,64,13
14,13,3
15,54,8
16,17,3
17,60,15
18,65,12
19,26,7
20,89,19
21,10,3
22,84,22
23,53,8
24,100,22
25,37,10
26,47,7
27,78,11
28,76,20
29,68,15
30,92,16
31,26,4
32,81,16
33,28,3
34,76,15
35,55,5
36,72,18
37,97,24
38,26,7
39,11,5
40,98,13
41,20,8
42,85,18
43,97,17
44,50,8
45,82,14
46,76,16
47,44,13
48,87,20
49,45,8
50,78,13
51,80,18
52,40,11
53,99,24
54,69,21
55,42,6
56,49,8
57,59,11
58,62,7
59,59,13
60,55,7
61,88,19
62,87,20
63,67,24
64,76,10
65,72,14
66,26,7
67,14,2
68,12,1
69,94,21
70,96,19
71,45,5
72,80,16
73,22,4
74,91,17
75,94,21
76,97,17
77,89,20
78,15,3
79,55,11
80,52,9
81,28,3
82,87,20
83,95,23
84,56,15
85,89,15
86,65,11
87,24,5
88,77,16
89,71,12
90,38,10
91,80,18
92,49,4
93,87,15
94,77,14
95,92,17
96,31,6
97,16,3
98,22,6
99,22,4
100,19,1
101,43,9
102,93,20
103,45,8
104,77,13
105,59,9
106,90,21
107,86,11
108,26,3
109,56,11
110,27,4
111,31,2
112,56,10
113,94,15
114,19,3
115,66,13
116,31,7
117,72,12
118,93,16
119,63,16
120,79,21
121,83,12
122,19,4
123,93,16
124,85,15
125,37,11
126,51,10
127,14,3
128,59,12
129,49,15
130,29,5
131,62,13
132,96,26
133,67,15
134,53,11
135,70,9
136,54,13
137,88,23
138,60,12
139,43,10
140,34,10
141,36,7
142,99,21
143,47,8
144,72,14
145,24,5
146,59,11
147,43,11
148,21,1
149,84,19
150,13,3
151,70,11
152,60,12
153,13,0
154,41,7
155,66,14
156,13,1
157,14,3
158,71,10
159,54,12
160,32,10
161,85,17
162,63,12
163,10,2
164,81,17
165,39,9
166,88,21
167,97,23
168,53,10
169,77,16
170,58,8
171,92,19
172,37,12
173,22,3
174,23,7
175,14,3
176,16,2
177,33,7
178,87,16
179,69,14
180,42,9
181,70,12
182,33,7
183,45,5
184,59,19
185,71,14
186,65,10
187,40,6
188,80,14
189,65,7
190,19,5
191,18,3
192,77,14
193,90,15
194,89,13
195,84,14
196,92,24
197,14,2
198,60,13
199,61,8
200,45,11
201,24,5
202,42,4
203,50,13
204,19,5
205,84,18
206,89,19
207,41,4
208,33,4
209,32,4
210,39,11
211,73,12
212,91,21
213,81,23
214,61,9
215,33,9
216,89,20
217,60,11
218,20,1
219,35,7
220,99,14
221,64,12
222,98,22
223,11,3
224,81,18
225,89,19
226,48,13
227,85,17
228,17,3
229,38,8
230,94,15
231,63,13
232,97,18
233,91,21
234,88,20
235,83,16
236,51,11
237,67,14
238,96,12
239,22,7
240,86,18
241,83,13
242,71,15
243,68,10
244,67,13
245,54,9
246,29,9
247,73,6
248,73,18
249,30,4
250,95,25
251,76,21
252,52,8
253,83,14
254,61,11
255,55,13
256,38,4
257,18,3
258,90,19
259,71,24
260,27,6
261,72,17
262,37,7
263,22,5
264,38,7
265,14,3
266,98,26
267,86,19
268,72,18
269,74,21
270,98,20
271,29,9
272,65,10
273,59,15
274,100,20
275,40,10
276,94,23
277,87,13
278,94,19
279,58,13
280,37,10
281,27,3
282,60,5
283,10,2
284,27,3
285,65,11
286,62,8
287,79,15
288,97,14
289,32,7
290,55,11
291,67,9
292,12,4
293,47,15
294,40,6
295,17,3
296,75,18
297,46,11
298,99,13
299,38,9
300,24,6
301,28,12
302,53,16
303,51,6
304,11,4
305,54,12
306,38,6
307,38,6
308,50,11
309,42,4
310,45,9
311,34,7
312,55,10
313,27,6
314,88,17
315,93,14
316,19,2
317,38,14
318,58,10
