Number of leaves - dataset 1,Number of leaves - dataset 2,Number of leaves - dataset 3
24,39,19
21,7,19
22,7,24
24,30,23
24,8,23
18,39,14
22,16,20
20,13,17
20,39,21
21,35,20
20,39,24
23,29,21
22,11,23
20,39,18
21,17,16
21,28,18
23,29,20
20,18,22
21,26,29
18,29,20
15,24,16
21,9,19
22,23,18
19,33,22
25,13,14
17,19,20
20,16,21
20,38,21
23,27,18
23,24,19
20,12,14
21,25,18
18,13,18
16,20,22
19,14,15
20,27,23
22,26,26
22,18,12
19,24,22
19,9,23
18,5,17
17,24,18
17,22,19
24,26,19
19,44,19
19,29,13
17,11,25
22,31,24
17,7,17
20,15,14
18,19,22
21,37,18
19,13,21
18,12,19
20,19,23
21,13,23
20,31,17
21,9,14
19,9,14
19,16,22
19,15,15
19,39,18
18,29,18
17,21,20
20,8,12
19,28,21
17,10,22
21,5,20
18,32,19
20,23,20
21,29,22
20,23,9
22,29,28
18,13,22
21,10,17
19,27,18
18,12,22
19,13,20
19,15,12
20,20,28
18,16,20
22,6,24
21,14,17
17,2,26
23,26,21
24,4,22
22,9,16
20,21,25
18,13,23
22,35,25
19,7,17
22,23,18
20,20,29
22,8,16
21,25,19
21,18,25
20,28,20
24,28,22
20,42,18
21,33,21
