Jakosc,Powierzchnia,PowierzchniaPiwnicy,LiczbaMscGaraz,PowierzchniaGarazu,RokBudowy,LiczbaLazienek,Powierzchnia1Pietra,LiczbaPokoi,TypGarazu,DlugoscDzialkiPrzyUlicy,Sasiedztwo,Cena
7.0,1710.0,856.0,2.0,548.0,2003.0,2.0,856.0,8.0,Attchd,65.0,CollgCr,208500.0
6.0,1262.0,1262.0,2.0,460.0,1976.0,2.0,1262.0,6.0,Attchd,80.0,Veenker,181500.0
7.0,1786.0,920.0,2.0,608.0,2001.0,2.0,920.0,6.0,Attchd,68.0,CollgCr,223500.0
7.0,1717.0,756.0,3.0,642.0,1915.0,1.0,961.0,7.0,Detchd,60.0,Crawfor,140000.0
8.0,2198.0,1145.0,3.0,836.0,2000.0,2.0,1145.0,9.0,Attchd,84.0,NoRidge,250000.0
5.0,1362.0,796.0,2.0,480.0,1993.0,1.0,796.0,5.0,Attchd,85.0,Mitchel,143000.0
8.0,1694.0,1686.0,2.0,636.0,2004.0,2.0,1694.0,7.0,Attchd,75.0,Somerst,307000.0
7.0,2090.0,1107.0,2.0,484.0,1973.0,2.0,1107.0,7.0,Attchd,69.0,NWAmes,200000.0
7.0,1774.0,952.0,2.0,468.0,1931.0,2.0,1022.0,8.0,Detchd,51.0,OldTown,129900.0
5.0,1077.0,991.0,1.0,205.0,1939.0,1.0,1077.0,5.0,Attchd,50.0,BrkSide,118000.0
5.0,1040.0,1040.0,1.0,384.0,1965.0,1.0,1040.0,5.0,Detchd,70.0,Sawyer,129500.0
9.0,2324.0,1175.0,3.0,736.0,2005.0,3.0,1182.0,11.0,BuiltIn,85.0,NridgHt,345000.0
5.0,912.0,912.0,1.0,352.0,1962.0,1.0,912.0,4.0,Detchd,69.0,Sawyer,144000.0
7.0,1494.0,1494.0,3.0,840.0,2006.0,2.0,1494.0,7.0,Attchd,91.0,CollgCr,279500.0
6.0,1253.0,1253.0,1.0,352.0,1960.0,1.0,1253.0,5.0,Attchd,69.0,NAmes,157000.0
7.0,854.0,832.0,2.0,576.0,1929.0,1.0,854.0,5.0,Detchd,51.0,BrkSide,132000.0
6.0,1004.0,1004.0,2.0,480.0,1970.0,1.0,1004.0,5.0,Attchd,69.0,NAmes,149000.0
4.0,1296.0,0.0,2.0,516.0,1967.0,2.0,1296.0,6.0,CarPort,72.0,Sawyer,90000.0
5.0,1114.0,1114.0,2.0,576.0,2004.0,1.0,1114.0,6.0,Detchd,66.0,SawyerW,159000.0
5.0,1339.0,1029.0,1.0,294.0,1958.0,1.0,1339.0,6.0,Attchd,70.0,NAmes,139000.0
8.0,2376.0,1158.0,3.0,853.0,2005.0,3.0,1158.0,9.0,BuiltIn,101.0,NridgHt,325300.0
7.0,1108.0,637.0,1.0,280.0,1930.0,1.0,1108.0,6.0,Attchd,57.0,IDOTRR,139400.0
8.0,1795.0,1777.0,2.0,534.0,2002.0,2.0,1795.0,7.0,Attchd,75.0,CollgCr,230000.0
5.0,1060.0,1040.0,2.0,572.0,1976.0,1.0,1060.0,6.0,Attchd,44.0,MeadowV,129900.0
5.0,1060.0,1060.0,1.0,270.0,1968.0,1.0,1060.0,6.0,Attchd,69.0,Sawyer,154000.0
8.0,1600.0,1566.0,3.0,890.0,2007.0,2.0,1600.0,7.0,Attchd,110.0,NridgHt,256300.0
5.0,900.0,900.0,2.0,576.0,1951.0,1.0,900.0,5.0,Detchd,60.0,NAmes,134800.0
8.0,1704.0,1704.0,3.0,772.0,2007.0,2.0,1704.0,7.0,Attchd,98.0,NridgHt,306000.0
5.0,1600.0,1484.0,1.0,319.0,1957.0,1.0,1600.0,6.0,Attchd,47.0,NAmes,207500.0
4.0,520.0,520.0,1.0,240.0,1927.0,1.0,520.0,4.0,Detchd,60.0,BrkSide,68500.0
4.0,1317.0,649.0,1.0,250.0,1920.0,1.0,649.0,6.0,Detchd,50.0,IDOTRR,40000.0
5.0,1228.0,1228.0,1.0,271.0,1966.0,1.0,1228.0,6.0,Attchd,69.0,Sawyer,149350.0
8.0,1234.0,1234.0,2.0,484.0,2007.0,2.0,1234.0,7.0,Attchd,85.0,CollgCr,179900.0
5.0,1700.0,1398.0,2.0,447.0,1959.0,1.0,1700.0,6.0,Attchd,70.0,NAmes,165500.0
9.0,1561.0,1561.0,2.0,556.0,2005.0,2.0,1561.0,6.0,Attchd,60.0,NridgHt,277500.0
8.0,2452.0,1117.0,3.0,691.0,2004.0,3.0,1132.0,9.0,BuiltIn,108.0,NridgHt,309000.0
5.0,1097.0,1097.0,2.0,672.0,1994.0,1.0,1097.0,6.0,Attchd,112.0,CollgCr,145000.0
5.0,1297.0,1297.0,2.0,498.0,1954.0,1.0,1297.0,5.0,Attchd,74.0,NAmes,153000.0
5.0,1057.0,1057.0,1.0,246.0,1953.0,1.0,1057.0,5.0,Detchd,68.0,NAmes,109000.0
4.0,1152.0,0.0,0.0,0.0,1955.0,2.0,1152.0,6.0,Attchd,65.0,Edwards,82000.0
6.0,1324.0,1088.0,2.0,440.0,1965.0,2.0,1324.0,6.0,Attchd,84.0,NAmes,160000.0
5.0,1328.0,1350.0,1.0,308.0,1959.0,1.0,1328.0,5.0,Attchd,115.0,Timber,170000.0
5.0,884.0,840.0,2.0,504.0,1983.0,1.0,884.0,5.0,Attchd,69.0,SawyerW,144000.0
5.0,938.0,938.0,1.0,308.0,1975.0,1.0,938.0,5.0,Detchd,69.0,CollgCr,130250.0
5.0,1150.0,1150.0,1.0,300.0,1959.0,1.0,1150.0,6.0,Attchd,70.0,NAmes,141000.0
9.0,1752.0,1752.0,2.0,576.0,2005.0,2.0,1752.0,6.0,Attchd,61.0,NridgHt,319900.0
7.0,2149.0,1434.0,2.0,670.0,2003.0,1.0,1518.0,6.0,Attchd,48.0,Mitchel,239686.0
8.0,1656.0,1656.0,3.0,826.0,2006.0,2.0,1656.0,7.0,Attchd,84.0,Somerst,249700.0
4.0,1452.0,736.0,0.0,0.0,1920.0,2.0,736.0,8.0,Attchd,33.0,OldTown,113000.0
5.0,955.0,955.0,1.0,386.0,1966.0,1.0,955.0,6.0,Attchd,66.0,Sawyer,127000.0
6.0,1470.0,794.0,2.0,388.0,1997.0,2.0,794.0,6.0,Attchd,69.0,Gilbert,177000.0
6.0,1176.0,816.0,2.0,528.0,1934.0,1.0,816.0,6.0,Detchd,52.0,BrkSide,114500.0
5.0,816.0,816.0,2.0,516.0,1963.0,1.0,816.0,5.0,CarPort,110.0,IDOTRR,110000.0
9.0,1842.0,1842.0,3.0,894.0,1981.0,0.0,1842.0,5.0,Attchd,68.0,Veenker,385000.0
5.0,1360.0,384.0,2.0,572.0,1955.0,1.0,1360.0,6.0,Detchd,60.0,NAmes,130000.0
6.0,1425.0,1425.0,2.0,576.0,1964.0,2.0,1425.0,7.0,Attchd,100.0,NAmes,180500.0
8.0,1739.0,970.0,2.0,480.0,1999.0,2.0,983.0,7.0,Attchd,24.0,Somerst,172500.0
7.0,1720.0,860.0,2.0,565.0,2004.0,2.0,860.0,7.0,Attchd,89.0,CollgCr,196500.0
10.0,2945.0,1410.0,3.0,641.0,2006.0,3.0,1426.0,10.0,BuiltIn,66.0,StoneBr,438780.0
5.0,780.0,780.0,1.0,352.0,1972.0,1.0,780.0,4.0,Detchd,60.0,CollgCr,124900.0
6.0,1158.0,1158.0,2.0,576.0,2004.0,1.0,1158.0,5.0,Detchd,63.0,SawyerW,158000.0
5.0,1111.0,530.0,1.0,288.0,1920.0,1.0,581.0,6.0,Detchd,60.0,IDOTRR,101000.0
8.0,1370.0,1370.0,2.0,484.0,2006.0,2.0,1370.0,6.0,Attchd,44.0,NridgHt,202500.0
7.0,1710.0,576.0,2.0,480.0,1921.0,2.0,902.0,9.0,Detchd,50.0,OldTown,140000.0
7.0,2034.0,1057.0,2.0,645.0,1997.0,2.0,1057.0,8.0,Attchd,69.0,CollgCr,219500.0
8.0,2473.0,1143.0,3.0,852.0,2004.0,2.0,1143.0,9.0,BuiltIn,76.0,NridgHt,317000.0
7.0,2207.0,1947.0,2.0,576.0,1970.0,2.0,2207.0,7.0,Attchd,69.0,NAmes,180000.0
7.0,1479.0,1453.0,2.0,558.0,2003.0,2.0,1479.0,7.0,Attchd,72.0,CollgCr,226000.0
4.0,747.0,747.0,1.0,220.0,1945.0,1.0,747.0,4.0,Attchd,47.0,OldTown,80000.0
7.0,2287.0,1304.0,2.0,667.0,1953.0,2.0,1304.0,7.0,Attchd,81.0,ClearCr,225000.0
7.0,2223.0,2223.0,2.0,516.0,1973.0,2.0,2223.0,8.0,Attchd,95.0,NAmes,244000.0
4.0,845.0,845.0,2.0,360.0,1982.0,1.0,845.0,4.0,Detchd,69.0,Mitchel,129500.0
7.0,1718.0,832.0,2.0,427.0,1998.0,2.0,885.0,7.0,Attchd,74.0,Gilbert,185000.0
5.0,1086.0,1086.0,2.0,490.0,1954.0,1.0,1086.0,6.0,Attchd,85.0,NAmes,144900.0
3.0,1605.0,840.0,1.0,379.0,1915.0,2.0,840.0,8.0,Detchd,60.0,OldTown,107400.0
4.0,988.0,462.0,1.0,297.0,1973.0,1.0,526.0,5.0,BuiltIn,21.0,MeadowV,91000.0
4.0,952.0,952.0,1.0,283.0,1956.0,1.0,952.0,4.0,Detchd,69.0,NAmes,135750.0
5.0,1285.0,672.0,1.0,240.0,1948.0,1.0,1072.0,6.0,Detchd,50.0,BrkSide,127000.0
4.0,1768.0,1768.0,0.0,0.0,1968.0,2.0,1768.0,8.0,Attchd,72.0,Sawyer,136500.0
5.0,1230.0,440.0,2.0,440.0,1910.0,1.0,682.0,5.0,Detchd,60.0,OldTown,110000.0
6.0,2142.0,896.0,1.0,509.0,1968.0,2.0,1182.0,8.0,Attchd,100.0,NAmes,193500.0
6.0,1337.0,1237.0,2.0,405.0,1998.0,2.0,1337.0,5.0,Attchd,32.0,Mitchel,153500.0
8.0,1563.0,1563.0,3.0,758.0,2007.0,2.0,1563.0,6.0,Attchd,78.0,Somerst,245000.0
5.0,1065.0,1065.0,2.0,461.0,1960.0,1.0,1065.0,6.0,Detchd,80.0,NAmes,126500.0
7.0,1474.0,384.0,2.0,400.0,1995.0,2.0,804.0,7.0,BuiltIn,69.0,Gilbert,168500.0
8.0,2417.0,1288.0,2.0,462.0,1991.0,2.0,1301.0,9.0,Attchd,121.0,NoRidge,260000.0
6.0,1560.0,684.0,2.0,400.0,2005.0,2.0,684.0,6.0,BuiltIn,122.0,Gilbert,174000.0
6.0,1224.0,612.0,2.0,528.0,2009.0,2.0,612.0,4.0,Detchd,40.0,Somerst,164500.0
3.0,1526.0,1013.0,0.0,0.0,1915.0,1.0,1013.0,6.0,Attchd,105.0,IDOTRR,85000.0
4.0,990.0,990.0,0.0,0.0,1994.0,1.0,990.0,5.0,Attchd,60.0,CollgCr,123600.0
4.0,1040.0,0.0,2.0,420.0,1950.0,1.0,1040.0,4.0,Detchd,60.0,NAmes,109900.0
5.0,1235.0,1235.0,2.0,480.0,1961.0,1.0,1235.0,6.0,Attchd,85.0,NAmes,98600.0
5.0,964.0,876.0,2.0,432.0,1921.0,1.0,964.0,5.0,Detchd,80.0,Crawfor,163500.0
6.0,2291.0,1214.0,2.0,506.0,1910.0,2.0,1260.0,9.0,Detchd,60.0,OldTown,133900.0
6.0,1786.0,824.0,2.0,684.0,1997.0,2.0,905.0,7.0,Attchd,69.0,CollgCr,204750.0
6.0,1470.0,680.0,2.0,420.0,1993.0,2.0,680.0,6.0,BuiltIn,69.0,Gilbert,185000.0
7.0,1588.0,1588.0,2.0,472.0,1999.0,2.0,1588.0,6.0,Attchd,78.0,CollgCr,214000.0
4.0,960.0,960.0,1.0,432.0,1965.0,1.0,960.0,6.0,Attchd,73.0,Edwards,94750.0
5.0,835.0,458.0,1.0,366.0,1920.0,1.0,835.0,5.0,Basment,85.0,Edwards,83000.0
4.0,1225.0,950.0,0.0,0.0,1959.0,1.0,1225.0,6.0,Attchd,77.0,NAmes,128950.0
6.0,1610.0,1610.0,2.0,480.0,1977.0,2.0,1610.0,6.0,Attchd,69.0,NWAmes,205000.0
6.0,1732.0,741.0,2.0,476.0,1985.0,2.0,977.0,7.0,Attchd,77.0,SawyerW,178000.0
5.0,1535.0,0.0,2.0,410.0,1979.0,2.0,1535.0,8.0,Attchd,64.0,SawyerW,118964.0
7.0,1226.0,1226.0,3.0,740.0,2009.0,2.0,1226.0,6.0,Attchd,94.0,CollgCr,198900.0
7.0,1818.0,1040.0,1.0,240.0,1931.0,1.0,1226.0,7.0,Detchd,69.0,IDOTRR,169500.0
8.0,1992.0,1053.0,2.0,648.0,2003.0,2.0,1053.0,9.0,Attchd,75.0,Somerst,250000.0
4.0,1047.0,641.0,1.0,273.0,1885.0,1.0,1047.0,6.0,Detchd,60.0,OldTown,100000.0
5.0,789.0,789.0,1.0,250.0,1948.0,1.0,789.0,5.0,Detchd,50.0,OldTown,115000.0
5.0,1517.0,793.0,0.0,0.0,1919.0,2.0,997.0,7.0,Attchd,85.0,IDOTRR,115000.0
6.0,1844.0,1844.0,2.0,546.0,1977.0,2.0,1844.0,7.0,Attchd,105.0,NWAmes,190000.0
6.0,1855.0,994.0,1.0,325.0,1954.0,2.0,1216.0,7.0,Attchd,75.0,Edwards,136900.0
7.0,1430.0,384.0,2.0,400.0,2000.0,2.0,774.0,7.0,BuiltIn,69.0,Gilbert,180000.0
7.0,2696.0,1264.0,3.0,792.0,2007.0,2.0,1282.0,10.0,BuiltIn,77.0,CollgCr,383970.0
6.0,2259.0,1809.0,2.0,450.0,1953.0,2.0,2259.0,7.0,Basment,69.0,Crawfor,217000.0
6.0,2320.0,1028.0,1.0,180.0,1945.0,2.0,1436.0,9.0,Detchd,61.0,Crawfor,259500.0
6.0,1458.0,729.0,2.0,440.0,1999.0,2.0,729.0,5.0,Detchd,34.0,Somerst,176000.0
5.0,1092.0,1092.0,1.0,288.0,1962.0,1.0,1092.0,6.0,Attchd,69.0,Sawyer,139000.0
5.0,1125.0,1125.0,2.0,430.0,2006.0,1.0,1125.0,5.0,Attchd,74.0,Edwards,155000.0
7.0,3222.0,1673.0,3.0,594.0,1990.0,3.0,1699.0,11.0,Attchd,90.0,SawyerW,320000.0
6.0,1456.0,728.0,2.0,390.0,2005.0,2.0,728.0,8.0,Attchd,65.0,CollgCr,163990.0
6.0,988.0,938.0,2.0,540.0,1969.0,1.0,988.0,4.0,Attchd,69.0,ClearCr,180000.0
4.0,1123.0,732.0,1.0,264.0,1939.0,1.0,772.0,4.0,Detchd,50.0,IDOTRR,100000.0
6.0,1080.0,1080.0,1.0,288.0,1958.0,1.0,1080.0,5.0,Attchd,75.0,NAmes,136000.0
6.0,1199.0,1199.0,2.0,530.0,1993.0,2.0,1199.0,5.0,Attchd,55.0,SawyerW,153900.0
6.0,1586.0,1362.0,2.0,435.0,1979.0,2.0,1586.0,7.0,Attchd,48.0,NWAmes,181000.0
6.0,754.0,520.0,0.0,0.0,1935.0,1.0,520.0,5.0,Attchd,60.0,IDOTRR,84500.0
6.0,958.0,1078.0,2.0,440.0,1976.0,2.0,958.0,5.0,Attchd,69.0,NPkVill,128000.0
5.0,840.0,672.0,0.0,0.0,1930.0,1.0,840.0,5.0,Attchd,55.0,OldTown,87000.0
6.0,1348.0,660.0,2.0,453.0,1966.0,1.0,660.0,6.0,Attchd,69.0,NAmes,155000.0
5.0,1053.0,1008.0,2.0,750.0,1958.0,1.0,1053.0,6.0,2Types,69.0,NAmes,150000.0
7.0,2157.0,924.0,2.0,487.0,1966.0,2.0,1216.0,8.0,Attchd,88.0,NAmes,226000.0
6.0,2054.0,992.0,2.0,390.0,2000.0,2.0,1022.0,7.0,BuiltIn,69.0,Gilbert,244000.0
