date,value
01.01.2019,"3809,4"
02.01.2019,"3873,8"
03.01.2019,"3780,1"
04.01.2019,"3802,7"
05.01.2019,"3785,4"
06.01.2019,"4004,1"
07.01.2019,"3985,9"
08.01.2019,"3971,0"
09.01.2019,"3978,0"
10.01.2019,"3603,7"
11.01.2019,"3616,5"
12.01.2019,"3597,2"
13.01.2019,"3490,2"
14.01.2019,"3638,1"
15.01.2019,"3571,3"
16.01.2019,"3588,0"
17.01.2019,"3626,4"
18.01.2019,"3605,6"
19.01.2019,"3677,8"
20.01.2019,"3542,3"
21.01.2019,"3536,7"
22.01.2019,"3580,1"
23.01.2019,"3561,5"
24.01.2019,"3574,3"
25.01.2019,"3572,0"
26.01.2019,"3570,9"
27.01.2019,"3555,6"
28.01.2019,"3442,8"
29.01.2019,"3414,8"
30.01.2019,"3460,0"
31.01.2019,"3437,2"
01.02.2019,"3467,9"
02.02.2019,"3502,5"
03.02.2019,"3459,1"
04.02.2019,"3462,8"
05.02.2019,"3468,4"
06.02.2019,"3404,3"
07.02.2019,"3397,7"
08.02.2019,"3661,7"
09.02.2019,"3661,4"
10.02.2019,"3679,0"
11.02.2019,"3631,8"
12.02.2019,"3632,0"
13.02.2019,"3611,5"
14.02.2019,"3592,6"
15.02.2019,"3604,7"
16.02.2019,"3616,8"
17.02.2019,"3664,2"
18.02.2019,"3896,0"
19.02.2019,"3914,3"
20.02.2019,"3972,4"
21.02.2019,"3936,6"
22.02.2019,"3965,2"
23.02.2019,"4120,4"
24.02.2019,"3755,2"
25.02.2019,"3833,7"
26.02.2019,"3810,3"
27.02.2019,"3814,6"
28.02.2019,"3816,6"
01.03.2019,"3821,9"
02.03.2019,"3823,1"
03.03.2019,"3809,5"
04.03.2019,"3715,9"
05.03.2019,"3857,2"
06.03.2019,"3863,0"
07.03.2019,"3875,1"
08.03.2019,"3865,9"
09.03.2019,"3944,3"
10.03.2019,"3915,2"
11.03.2019,"3870,3"
12.03.2019,"3886,0"
13.03.2019,"3865,1"
14.03.2019,"3879,0"
15.03.2019,"3924,3"
16.03.2019,"4006,4"
17.03.2019,"3981,5"
18.03.2019,"3990,2"
19.03.2019,"4017,0"
20.03.2019,"4041,2"
21.03.2019,"3982,2"
22.03.2019,"3990,4"
23.03.2019,"4002,5"
24.03.2019,"3994,7"
25.03.2019,"3937,0"
26.03.2019,"3942,8"
27.03.2019,"4041,7"
28.03.2019,"4025,6"
29.03.2019,"4102,2"
30.03.2019,"4111,8"
31.03.2019,"4102,3"
01.04.2019,"4145,1"
02.04.2019,"4859,3"
03.04.2019,"4968,7"
04.04.2019,"4902,4"
05.04.2019,"5010,2"
06.04.2019,"5046,2"
07.04.2019,"5173,6"
08.04.2019,"5245,2"
09.04.2019,"5158,4"
10.04.2019,"5307,8"
11.04.2019,"5022,6"
12.04.2019,"5054,2"
13.04.2019,"5051,8"
14.04.2019,"5134,8"
15.04.2019,"5032,3"
16.04.2019,"5180,9"
17.04.2019,"5208,3"
18.04.2019,"5264,7"
19.04.2019,"5241,0"
20.04.2019,"5290,2"
21.04.2019,"5243,5"
22.04.2019,"5346,7"
23.04.2019,"5511,6"
24.04.2019,"5415,6"
25.04.2019,"5209,1"
26.04.2019,"5298,3"
27.04.2019,"5265,9"
28.04.2019,"5302,3"
29.04.2019,"5235,0"
30.04.2019,"5320,8"
01.05.2019,"5384,2"
02.05.2019,"5493,8"
03.05.2019,"5766,8"
04.05.2019,"5830,9"
05.05.2019,"5774,9"
06.05.2019,"5745,1"
07.05.2019,"5849,5"
08.05.2019,"5990,3"
09.05.2019,"6191,5"
10.05.2019,"6386,0"
11.05.2019,"7190,3"
12.05.2019,"6984,8"
13.05.2019,"7806,0"
14.05.2019,"7994,6"
15.05.2019,"8164,6"
16.05.2019,"7871,8"
17.05.2019,"7359,5"
18.05.2019,"7262,6"
19.05.2019,"8157,2"
20.05.2019,"7965,3"
21.05.2019,"7930,3"
22.05.2019,"7635,7"
23.05.2019,"7852,1"
24.05.2019,"7970,1"
25.05.2019,"8027,4"
26.05.2019,"8630,2"
27.05.2019,"8760,1"
28.05.2019,"8716,3"
29.05.2019,"8647,8"
30.05.2019,"8271,9"
31.05.2019,"8558,3"
01.06.2019,"8545,7"
02.06.2019,"8728,6"
03.06.2019,"8124,8"
04.06.2019,"7685,5"
05.06.2019,"7779,1"
06.06.2019,"7784,9"
07.06.2019,"7985,2"
08.06.2019,"7901,4"
09.06.2019,"7635,0"
10.06.2019,"7987,8"
11.06.2019,"7888,0"
12.06.2019,"8133,1"
13.06.2019,"8219,0"
14.06.2019,"8656,1"
15.06.2019,"8812,5"
16.06.2019,"8962,5"
17.06.2019,"9318,8"
18.06.2019,"9080,6"
19.06.2019,"9255,4"
20.06.2019,"9517,0"
21.06.2019,"10179,3"
22.06.2019,"10721,7"
23.06.2019,"10897,1"
24.06.2019,"11046,4"
25.06.2019,"11809,9"
26.06.2019,"13063,8"
27.06.2019,"11287,8"
28.06.2019,"12409,1"
29.06.2019,"11906,5"
30.06.2019,"10818,6"
01.07.2019,"10616,6"
02.07.2019,"10835,9"
03.07.2019,"11900,8"
04.07.2019,"11163,1"
05.07.2019,"10970,2"
06.07.2019,"11268,0"
07.07.2019,"11415,9"
08.07.2019,"12252,6"
09.07.2019,"12541,5"
10.07.2019,"12110,6"
11.07.2019,"11342,3"
12.07.2019,"11762,1"
13.07.2019,"11364,9"
14.07.2019,"10200,1"
15.07.2019,"10845,9"
16.07.2019,"9424,8"
17.07.2019,"9723,2"
18.07.2019,"10651,4"
19.07.2019,"10571,5"
20.07.2019,"10826,7"
21.07.2019,"10714,4"
22.07.2019,"10412,5"
23.07.2019,"9888,7"
24.07.2019,"9804,3"
25.07.2019,"9945,3"
26.07.2019,"9831,0"
27.07.2019,"9492,1"
28.07.2019,"9727,8"
29.07.2019,"9580,9"
30.07.2019,"9580,7"
31.07.2019,"10082,0"
01.08.2019,"10380,0"
02.08.2019,"10520,1"
03.08.2019,"10815,7"
04.08.2019,"10934,6"
05.08.2019,"11816,8"
06.08.2019,"11480,9"
07.08.2019,"12013,9"
08.08.2019,"12191,6"
09.08.2019,"12089,8"
10.08.2019,"11314,5"
11.08.2019,"11517,2"
12.08.2019,"11394,2"
13.08.2019,"10892,9"
14.08.2019,"10049,4"
15.08.2019,"10303,4"
16.08.2019,"10335,6"
17.08.2019,"10218,1"
18.08.2019,"10312,7"
19.08.2019,"10910,7"
20.08.2019,"10752,6"
21.08.2019,"10141,5"
22.08.2019,"10105,0"
23.08.2019,"10388,7"
24.08.2019,"10131,0"
25.08.2019,"10136,3"
26.08.2019,"10371,8"
27.08.2019,"10184,8"
28.08.2019,"9729,4"
29.08.2019,"9491,0"
30.08.2019,"9585,4"
31.08.2019,"9594,4"
01.09.2019,"9729,3"
02.09.2019,"10348,8"
03.09.2019,"10612,3"
04.09.2019,"10568,2"
05.09.2019,"10566,9"
06.09.2019,"10309,3"
07.09.2019,"10461,1"
08.09.2019,"10402,8"
09.09.2019,"10309,0"
10.09.2019,"10105,4"
11.09.2019,"10162,5"
12.09.2019,"10415,1"
13.09.2019,"10342,1"
14.09.2019,"10337,3"
15.09.2019,"10311,5"
16.09.2019,"10255,5"
17.09.2019,"10195,7"
18.09.2019,"10164,7"
19.09.2019,"10250,5"
20.09.2019,"10172,7"
21.09.2019,"9993,0"
22.09.2019,"10031,6"
23.09.2019,"9702,2"
24.09.2019,"8513,9"
25.09.2019,"8432,4"
26.09.2019,"8063,8"
27.09.2019,"8184,9"
28.09.2019,"8208,5"
29.09.2019,"8049,1"
30.09.2019,"8284,3"
01.10.2019,"8302,7"
02.10.2019,"8364,1"
03.10.2019,"8226,9"
04.10.2019,"8148,1"
05.10.2019,"8127,3"
06.10.2019,"7881,9"
07.10.2019,"8198,6"
08.10.2019,"8182,9"
09.10.2019,"8566,7"
10.10.2019,"8562,3"
11.10.2019,"8267,8"
12.10.2019,"8304,4"
13.10.2019,"8281,5"
14.10.2019,"8353,3"
