UMAP1,UMAP2
10.516854,12.039061
8.092672,-1.0263729
9.277579,11.843623
-3.5370638,6.4388785
0.21026267,6.577628
1.0868728,5.1174784
5.9798245,2.9702814
-1.068229,7.919447
-0.8107208,8.261708
-3.0852158,1.4671501
10.561995,8.89378
10.431651,12.327467
7.875819,-0.5528847
9.721514,9.106288
11.050849,11.719121
-2.0984724,1.936685
10.191413,9.770277
1.7557527,4.1126475
8.682826,1.3047516
9.831964,9.249853
8.183046,12.220981
0.8245425,3.7460985
0.97427,5.569585
-0.8303321,5.305894
11.354013,9.942857
-1.6441529,1.8709083
-3.506495,6.0837545
8.250545,12.317822
11.466805,9.481732
9.5725565,10.182312
-2.4719522,5.3394427
7.936081,-0.5053464
9.372523,11.719088
8.453192,-0.87665725
1.1777904,5.052724
0.7397304,8.635451
7.2751274,3.183802
10.264908,11.589966
2.269752,4.5456133
-0.8426959,7.6123977
-3.1634967,5.4431005
-0.60757667,8.321331
10.4013,12.720465
10.505379,8.763098
-2.4805682,5.9794593
1.257682,4.219153
5.7582088,3.0580525
9.167487,12.4430895
8.185781,3.1433196
10.468857,12.825582
1.230165,5.079675
9.368241,12.482147
10.559982,12.11449
7.612524,2.5830693
0.058686513,5.504592
11.429961,12.311151
1.1678299,5.1699233
5.9105735,2.2364128
6.0492334,2.2709343
9.367805,12.041592
-2.4948566,5.9334836
-2.6365337,0.9705569
1.8090755,5.624416
1.06515,5.341803
1.4133294,3.708361
9.395236,11.963347
2.4380176,4.730185
-0.873199,2.644029
9.702861,10.09917
8.18929,3.273252
8.866944,12.493984
10.868425,12.895874
10.547445,8.7927
9.97196,10.380204
7.9285183,3.4189289
-3.2990036,5.547082
0.7645998,8.698681
9.569792,10.170193
10.832862,12.477282
-2.5612476,2.0237987
-0.9713779,1.403595
6.3689146,2.3852823
9.334995,13.127807
-0.9302921,6.2005377
7.648581,1.4629351
-0.15936673,7.3494163
-3.5065036,6.5297046
5.9050174,2.491953
7.68123,-1.2104295
9.436338,11.455623
9.819944,9.789468
7.165532,1.8717848
7.357393,1.7356957
2.6579144,4.6991706
9.290351,11.532196
8.394513,11.973777
0.7390164,8.455895
-1.9660668,1.4744549
2.1772733,4.7143865
8.158248,2.5840552
9.475253,12.223481
2.140602,5.053005
11.2623005,12.085137
0.2523585,5.54175
11.032767,12.466865
-0.3514404,5.2643075
