Wyksztalcenie,Dochod,LDniOdOstWizyty,WydatkiWino,WydatkiOwoce,WydatkiMieso,WydatkiRyby,WydatkiSlodycze,IloscZakupowInternet,IloscZakupowKatalog,IloscZakupowWSklepie,LOdwiedzinStrony,OdKiedyKlient,Wiek,Spent,MieszkaZ,LDzieci,LOsobGospDom,CzyRodzic
Graduate,58138.0,58,635,88,546,172,88,8,10,4,7,12.459958932238193,68,1617,Alone,0,1,0
Graduate,46344.0,38,11,1,6,2,1,1,1,2,5,10.954140999315538,71,27,Alone,2,3,1
Graduate,71613.0,26,426,49,127,111,21,8,2,10,4,11.498973305954824,60,776,Partner,0,2,0
Graduate,26646.0,26,11,4,20,10,3,2,0,4,6,11.025325119780971,41,53,Partner,1,3,1
Postgraduate,58293.0,94,173,43,118,46,27,5,3,6,5,11.08555783709788,44,422,Partner,1,3,1
Postgraduate,62513.0,16,520,42,98,0,42,6,4,10,6,11.446954140999315,58,716,Partner,1,3,1
Graduate,55635.0,34,235,65,164,50,49,7,3,7,6,12.268309377138946,54,590,Alone,1,2,1
Postgraduate,33454.0,32,76,10,56,3,1,4,0,4,8,11.786447638603695,40,169,Partner,1,3,1
Postgraduate,30351.0,19,14,0,24,3,3,3,0,2,9,11.707049965776864,51,46,Partner,1,3,1
Postgraduate,5648.0,68,28,0,6,1,1,1,0,0,20,10.940451745379876,75,49,Partner,2,4,1
Undergraduate,7500.0,59,6,16,11,11,1,2,0,3,8,12.268309377138946,49,61,Partner,0,2,0
Graduate,63033.0,82,194,61,480,225,112,3,4,8,2,11.263518138261464,66,1102,Alone,0,1,0
Postgraduate,59354.0,53,233,2,53,3,5,6,1,5,6,11.263518138261464,73,310,Alone,2,3,1
Graduate,17323.0,38,3,14,17,6,1,1,0,3,8,12.361396303901437,38,46,Partner,0,2,0
Postgraduate,82800.0,23,1006,22,115,59,68,7,6,12,3,12.238193018480493,79,1315,Alone,0,1,0
Graduate,41850.0,51,53,5,19,2,13,3,0,3,8,12.15605749486653,45,96,Partner,2,4,1
Graduate,37760.0,20,84,5,38,150,12,4,1,6,7,12.47091033538672,79,317,Partner,0,2,0
Postgraduate,76995.0,91,1012,80,498,0,16,11,4,9,5,11.898699520876113,76,1782,Partner,1,3,1
Undergraduate,33812.0,86,4,17,19,30,24,2,1,3,6,12.295687885010269,40,133,Alone,1,2,1
Graduate,37040.0,41,86,2,73,69,38,4,2,5,8,12.53388090349076,43,316,Partner,0,2,0
Graduate,2447.0,42,1,1,1725,1,1,0,28,0,1,12.120465434633813,46,1730,Partner,1,3,1
Postgraduate,58607.0,63,867,0,86,0,0,2,3,9,8,12.158795345653662,76,972,Partner,1,3,1
Postgraduate,65324.0,0,384,0,102,21,32,6,2,9,4,11.107460643394935,71,544,Partner,1,3,1
Graduate,40689.0,69,270,3,27,39,6,7,1,5,8,11.926078028747432,74,444,Partner,1,3,1
